39,1,user008,닉네임8,댓글내용입니다.0,11-11 22:34,0,null
11,2,user009,닉네임9,댓글내용입니다.1,11-11 22:34,0,null
45,3,user002,닉네임2,댓글내용입니다.2,11-11 22:34,0,null
43,4,user001,닉네임1,댓글내용입니다.3,11-11 22:34,0,null
13,5,user009,닉네임9,댓글내용입니다.4,11-11 22:34,0,null
52,6,user000,닉네임0,댓글내용입니다.5,11-11 22:34,0,null
46,7,user000,닉네임0,댓글내용입니다.6,11-11 22:34,0,null
29,8,user005,닉네임5,댓글내용입니다.7,11-11 22:34,0,null
40,9,user005,닉네임5,댓글내용입니다.8,11-11 22:34,0,50
51,10,user005,닉네임5,댓글내용입니다.9,11-11 22:34,0,null
19,11,user006,닉네임6,댓글내용입니다.10,11-11 22:34,0,null
24,12,user003,닉네임3,댓글내용입니다.11,11-11 22:34,0,null
25,13,user002,닉네임2,댓글내용입니다.12,11-11 22:34,0,null
0,14,user000,닉네임0,댓글내용입니다.13,11-11 22:34,0,null
38,15,user007,닉네임7,댓글내용입니다.14,11-11 22:34,0,null
8,16,user006,닉네임6,댓글내용입니다.15,11-11 22:34,0,null
52,17,user008,닉네임8,댓글내용입니다.16,11-11 22:34,0,null
33,18,user002,닉네임2,댓글내용입니다.17,11-11 22:34,0,23
34,19,user000,닉네임0,댓글내용입니다.18,11-11 22:34,0,null
18,20,user008,닉네임8,댓글내용입니다.19,11-11 22:34,0,null
52,21,user008,닉네임8,댓글내용입니다.20,11-11 22:34,0,null
1,22,user005,닉네임5,댓글내용입니다.21,11-11 22:34,0,null
44,23,user002,닉네임2,댓글내용입니다.22,11-11 22:34,0,null
50,24,user009,닉네임9,댓글내용입니다.23,11-11 22:34,0,null
45,25,user001,닉네임1,댓글내용입니다.24,11-11 22:34,0,null
37,26,user001,닉네임1,댓글내용입니다.25,11-11 22:34,0,null
47,27,user006,닉네임6,댓글내용입니다.26,11-11 22:34,0,null
45,28,user005,닉네임5,댓글내용입니다.27,11-11 22:34,0,null
44,29,user003,닉네임3,댓글내용입니다.28,11-11 22:34,0,null
48,30,user001,닉네임1,댓글내용입니다.29,11-11 22:34,0,null
8,31,user001,닉네임1,댓글내용입니다.30,11-11 22:34,0,null
33,32,user009,닉네임9,댓글내용입니다.31,11-11 22:34,0,null
26,33,user006,닉네임6,댓글내용입니다.32,11-11 22:34,0,null
23,34,user007,닉네임7,댓글내용입니다.33,11-11 22:34,0,30
20,35,user003,닉네임3,댓글내용입니다.34,11-11 22:34,0,null
48,36,user007,닉네임7,댓글내용입니다.35,11-11 22:34,0,null
35,37,user002,닉네임2,댓글내용입니다.36,11-11 22:34,0,null
5,38,user001,닉네임1,댓글내용입니다.37,11-11 22:34,0,null
27,39,user004,닉네임4,댓글내용입니다.38,11-11 22:34,0,null
47,40,user006,닉네임6,댓글내용입니다.39,11-11 22:34,0,null
9,41,user002,닉네임2,댓글내용입니다.40,11-11 22:34,0,null
9,42,user000,닉네임0,댓글내용입니다.41,11-11 22:34,0,null
3,43,user007,닉네임7,댓글내용입니다.42,11-11 22:34,0,null
20,44,user008,닉네임8,댓글내용입니다.43,11-11 22:34,0,null
2,45,user009,닉네임9,댓글내용입니다.44,11-11 22:34,0,null
38,46,user007,닉네임7,댓글내용입니다.45,11-11 22:34,0,null
36,47,user002,닉네임2,댓글내용입니다.46,11-11 22:34,0,null
20,48,user008,닉네임8,댓글내용입니다.47,11-11 22:34,0,null
38,49,user003,닉네임3,댓글내용입니다.48,11-11 22:34,0,null
17,50,user001,닉네임1,댓글내용입니다.49,11-11 22:34,0,null
3,51,user000,닉네임0,댓글내용입니다.50,11-11 22:34,0,null
40,52,user004,닉네임4,댓글내용입니다.51,11-11 22:34,2,null
50,53,user001,닉네임1,댓글내용입니다.52,11-11 22:34,0,null
42,54,user002,닉네임2,댓글내용입니다.53,11-11 22:34,0,null
19,55,user005,닉네임5,댓글내용입니다.54,11-11 22:34,0,null
0,56,user003,닉네임3,댓글내용입니다.55,11-11 22:34,0,null
2,57,user004,닉네임4,댓글내용입니다.56,11-11 22:34,1,null
48,58,user009,닉네임9,댓글내용입니다.57,11-11 22:34,0,null
25,59,user005,닉네임5,댓글내용입니다.58,11-11 22:34,0,null
52,60,user005,닉네임5,댓글내용입니다.59,11-11 22:34,0,null
34,61,user005,닉네임5,댓글내용입니다.60,11-11 22:34,0,null
7,62,user001,닉네임1,댓글내용입니다.61,11-11 22:34,0,null
5,63,user002,닉네임2,댓글내용입니다.62,11-11 22:34,0,null
42,64,user008,닉네임8,댓글내용입니다.63,11-11 22:34,0,null
30,65,user006,닉네임6,댓글내용입니다.64,11-11 22:34,0,null
49,66,user009,닉네임9,댓글내용입니다.65,11-11 22:34,0,null
18,67,user009,닉네임9,댓글내용입니다.66,11-11 22:34,0,null
34,68,user006,닉네임6,댓글내용입니다.67,11-11 22:34,0,null
41,69,user000,닉네임0,댓글내용입니다.68,11-11 22:34,0,null
13,70,user008,닉네임8,댓글내용입니다.69,11-11 22:34,0,null
13,71,user000,닉네임0,댓글내용입니다.70,11-11 22:34,0,null
9,72,user006,닉네임6,댓글내용입니다.71,11-11 22:34,0,null
4,73,user000,닉네임0,댓글내용입니다.72,11-11 22:34,0,null
2,74,user003,닉네임3,댓글내용입니다.73,11-11 22:34,0,null
41,75,user001,닉네임1,댓글내용입니다.74,11-11 22:34,0,null
23,76,user003,닉네임3,댓글내용입니다.75,11-11 22:34,0,null
48,77,user004,닉네임4,댓글내용입니다.76,11-11 22:34,1,null
2,78,user007,닉네임7,댓글내용입니다.77,11-11 22:34,0,null
34,79,user009,닉네임9,댓글내용입니다.78,11-11 22:34,0,null
47,80,user001,닉네임1,댓글내용입니다.79,11-11 22:34,0,null
